"sub_event_pkey","sub_event_souce_system","parent_eventid","sub_event_name","venue"
"SbeK3596333925921","Desktop_Test_Flatfile","","SubEvent IRONMAN 70.3","West Darrell"
"SbeK6184142915171","Desktop_Test_Flatfile","","SubEvent IRONMAN 70.3","Deborahstad"
"SbeK3014049952319","Desktop_Test_Flatfile","","SubEvent IRONMAN 70.3","East Dawnfort"
"SbeK9711992486697","Desktop_Test_Flatfile","","SubEvent IRONMAN 70.3","Lake John"
"SbeK8162986058405","Desktop_Test_Flatfile","","SubEvent IRONMAN 70.3","Lake Matthew"
"SbeK1546694220731","Desktop_Test_Flatfile","","SubEvent IRONMAN 70.3","Lake Adriana"
"SbeK5420270148984","Desktop_Test_Flatfile","","SubEvent IRONMAN 70.3","North Brianstad"
"SbeK0797143498190","Desktop_Test_Flatfile","","SubEvent IRONMAN 70.3","Lake Ginafurt"
"SbeK2399306206307","Desktop_Test_Flatfile","","SubEvent IRONMAN 70.3","Tonyatown"
"SbeK2740187221376","Desktop_Test_Flatfile","","SubEvent IRONMAN 70.3","Smithmouth"
