"registration_pkey","registration_souce_system","registration_personid","registration_eventid","registration_sub_eventid","registration_date","registration_status"
"RegK1934560209933","Desktop_Test_Flatfile","PerK4558115502651","EveK7718256368760e-1","SbeK3531376225539e-1","2010-08-24","Registered"
"RegK5711763777645","Desktop_Test_Flatfile","PerK4889987395042","EveK7718256368760e-1","SbeK3531376225539e-1","1999-12-13","Registered"
"RegK0374411009274","Desktop_Test_Flatfile","PerK1275275506581","EveK7718256368760e-1","SbeK3531376225539e-1","1987-08-12","Registered"
"RegK9643637835006","Desktop_Test_Flatfile","PerK1933620919201","EveK7718256368760e-1","SbeK3531376225539e-1","1990-07-17","Registered"
"RegK8223743147432","Desktop_Test_Flatfile","PerK9778825625777","EveK7718256368760e-1","SbeK3531376225539e-1","1988-01-17","Registered"
"RegK7352058197472","Desktop_Test_Flatfile","PerK4420500623312","EveK7718256368760e-1","SbeK3531376225539e-1","1982-07-17","Registered"
"RegK6222820792291","Desktop_Test_Flatfile","PerK8835632006852","EveK7718256368760e-1","SbeK3531376225539e-1","1971-07-14","Registered"
"RegK6848652321470","Desktop_Test_Flatfile","PerK7156491656929","EveK9154012065432e-2","SbeK2507288796147e-2","2002-02-07","Registered"
"RegK4148446138607","Desktop_Test_Flatfile","PerK7933026940506","EveK9154012065432e-2","SbeK2507288796147e-2","1978-02-07","Registered"
"RegK9710641274487","Desktop_Test_Flatfile","PerK6143893574402","EveK6296005478973e-0","SbeK6369525382768e-0","2001-06-19","Registered"
"RegK2763208975126","Desktop_Test_Flatfile","PerK8808007971666","EveK9154012065432e-2","SbeK2507288796147e-2","1996-07-26","Registered"
"RegK6552619762212","Desktop_Test_Flatfile","PerK8318223325278","EveK9154012065432e-2","SbeK2507288796147e-2","2021-10-05","Registered"
"RegK6880039994471","Desktop_Test_Flatfile","PerK4132706266957","EveK7718256368760e-1","SbeK3531376225539e-1","2006-07-16","Registered"
"RegK6611151010714","Desktop_Test_Flatfile","PerK0408367260288","EveK7718256368760e-1","SbeK3531376225539e-1","1980-08-01","Registered"
"RegK5973282146764","Desktop_Test_Flatfile","PerK0501043170052","EveK7718256368760e-1","SbeK3531376225539e-1","1999-05-13","Registered"
"RegK9882825372040","Desktop_Test_Flatfile","PerK2878964351555","EveK9154012065432e-2","SbeK2507288796147e-2","2008-03-11","Registered"
"RegK3235803305077","Desktop_Test_Flatfile","PerK8026595295579","EveK7718256368760e-1","SbeK3531376225539e-1","1991-05-20","Registered"
"RegK0446951797826","Desktop_Test_Flatfile","PerK9524831900199","EveK9154012065432e-2","SbeK2507288796147e-2","1992-10-23","Registered"
"RegK7766585028053","Desktop_Test_Flatfile","PerK3652117490365","EveK6296005478973e-0","SbeK6369525382768e-0","1999-02-25","Registered"
"RegK8022309513953","Desktop_Test_Flatfile","PerK6875395150159","EveK9154012065432e-2","SbeK2507288796147e-2","1994-04-03","Registered"
