"sub_event_pkey","sub_event_souce_system","parent_eventid","sub_event_name","venue"
"SbeK9010825072183","Desktop_Test_Flatfile","","SubEvent IRONMAN 70.3","Port Garrett"
"SbeK0780832055620","Desktop_Test_Flatfile","","SubEvent IRONMAN 70.3","Williamsville"
"SbeK1170819081527","Desktop_Test_Flatfile","","SubEvent IRONMAN 70.3","Fordbury"
"SbeK4163765170343","Desktop_Test_Flatfile","","SubEvent IRONMAN 70.3","Solismouth"
"SbeK5539026253329","Desktop_Test_Flatfile","","SubEvent IRONMAN 70.3","East Alejandraland"
"SbeK1356946430814","Desktop_Test_Flatfile","","SubEvent IRONMAN 70.3","West Nicholas"
"SbeK8719927939684","Desktop_Test_Flatfile","","SubEvent IRONMAN 70.3","South Brandymouth"
"SbeK7692512960557","Desktop_Test_Flatfile","","SubEvent IRONMAN 70.3","West Johnville"
"SbeK4655441185913","Desktop_Test_Flatfile","","SubEvent IRONMAN 70.3","Bradshawland"
"SbeK4493024372509","Desktop_Test_Flatfile","","SubEvent IRONMAN 70.3","Suzanneside"
