"registration_pkey","registration_souce_system","registration_personid","registration_eventid","registration_sub_eventid","registration_date","registration_status"
"RegK5492744414857","Desktop_Test_Flatfile","PerK5138663326313","EveK3984622691419e-2","SbeK7736276809711e-2","1982-06-05","Registered"
"RegK0264633028996","Desktop_Test_Flatfile","PerK8155838881009","EveK3984622691419e-2","SbeK7736276809711e-2","2004-08-12","Registered"
"RegK9668273472613","Desktop_Test_Flatfile","PerK8628652949090","EveK5442454063074e-1","SbeK1277653428034e-1","2013-04-09","Registered"
"RegK4419723760324","Desktop_Test_Flatfile","PerK4043255038561","EveK5442454063074e-1","SbeK1277653428034e-1","2007-12-11","Registered"
"RegK8848427277030","Desktop_Test_Flatfile","PerK5249413375779","EveK5442454063074e-1","SbeK1277653428034e-1","1996-01-03","Registered"
"RegK5319114175258","Desktop_Test_Flatfile","PerK7137612704514","EveK5442454063074e-1","SbeK1277653428034e-1","2018-06-21","Registered"
"RegK4878238645487","Desktop_Test_Flatfile","PerK5870318466653","EveK6465683900780e-0","SbeK8335456922074e-0","1980-12-10","Registered"
"RegK8077219683517","Desktop_Test_Flatfile","PerK6035318111074","EveK5442454063074e-1","SbeK1277653428034e-1","1973-09-27","Registered"
"RegK1561746130561","Desktop_Test_Flatfile","PerK0829583563951","EveK6465683900780e-0","SbeK8335456922074e-0","2012-02-11","Registered"
"RegK0599982638207","Desktop_Test_Flatfile","PerK6534920544169","EveK3984622691419e-2","SbeK7736276809711e-2","2020-03-30","Registered"
"RegK8220848766827","Desktop_Test_Flatfile","PerK5798704495837","EveK6465683900780e-0","SbeK8335456922074e-0","2009-11-26","Registered"
"RegK7832763915429","Desktop_Test_Flatfile","PerK9700797564259","EveK6465683900780e-0","SbeK8335456922074e-0","2004-06-22","Registered"
"RegK6723290632136","Desktop_Test_Flatfile","PerK4032071364268","EveK3984622691419e-2","SbeK7736276809711e-2","2009-10-04","Registered"
"RegK9472128108318","Desktop_Test_Flatfile","PerK9977069244526","EveK6465683900780e-0","SbeK8335456922074e-0","1999-06-13","Registered"
"RegK9284909400548","Desktop_Test_Flatfile","PerK7247453775939","EveK3984622691419e-2","SbeK7736276809711e-2","1982-03-25","Registered"
"RegK3800098243351","Desktop_Test_Flatfile","PerK4660311225842","EveK6465683900780e-0","SbeK8335456922074e-0","1999-09-03","Registered"
"RegK4763468811835","Desktop_Test_Flatfile","PerK5756806328309","EveK6465683900780e-0","SbeK8335456922074e-0","1979-09-01","Registered"
"RegK2526378477254","Desktop_Test_Flatfile","PerK1484394159619","EveK6465683900780e-0","SbeK8335456922074e-0","2017-08-19","Registered"
"RegK9742804233512","Desktop_Test_Flatfile","PerK3820981141540","EveK6465683900780e-0","SbeK8335456922074e-0","1975-08-09","Registered"
"RegK6736265878743","Desktop_Test_Flatfile","PerK8431789139575","EveK3984622691419e-2","SbeK7736276809711e-2","1986-05-04","Registered"
