"instance_source_pkey","instance_destination_pkey","instance_name","instance_rootKey","instance_rootSystem","Relationship_type","EventToSubEventParent_pkey","EventToSubEventParent_sourceSystem","EventToSubEventChild_pkey","EventToSubEventChild_sourceSystem","EventToSubEvent_sourcePkey","SubEventToRegistrationParent_pkey","SubEventToRegistrationParent_sourceSystem","SubEventToRegistrationChild_pkey","SubEventToRegistrationChild_sourceSystem","SubEventToRegistration_sourcePkey","RegistrationToResultsParent_pkey","RegistrationToResultsParent_sourceSystem","RegistrationToResultsChild_pkey","RegistrationToResultsChild_sourceSystem","RegistrationToResults_sourcePkey"
"EveK3984622691419e-2","EveK3984622691419e-2 hierarchy instance","EveK3984622691419e-2.hierarchy.instance","EveK3984622691419e-2","ns.vm.hierarchy-import","child_record","EveK3984622691419e-2","Desktop_Test_Flatfile","SbeK7736276809711e-2","Desktop_Test_Flatfile","Hkey_EtSE_EveK3984622691419e-2_0","SbeK7736276809711e-2","Desktop_Test_Flatfile","RegK5492744414857","Desktop_Test_Flatfile","Hkey_SEtR_EveK3984622691419e-2_0","RegK5492744414857","Desktop_Test_Flatfile","ResK5880501503706","Desktop_Test_Flatfile","Hkey_RtR_EveK3984622691419e-2_0"
"EveK5442454063074e-1","EveK5442454063074e-1 hierarchy instance","EveK5442454063074e-1.hierarchy.instance","EveK5442454063074e-1","ns.vm.hierarchy-import","child_record","EveK5442454063074e-1","Desktop_Test_Flatfile","SbeK1277653428034e-1","Desktop_Test_Flatfile","Hkey_EtSE_EveK5442454063074e-1_1","SbeK1277653428034e-1","Desktop_Test_Flatfile","RegK0264633028996","Desktop_Test_Flatfile","Hkey_SEtR_EveK5442454063074e-1_1","RegK0264633028996","Desktop_Test_Flatfile","ResK4399681105729","Desktop_Test_Flatfile","Hkey_RtR_EveK5442454063074e-1_1"
"EveK5442454063074e-1","EveK5442454063074e-1 hierarchy instance","EveK5442454063074e-1.hierarchy.instance","EveK5442454063074e-1","ns.vm.hierarchy-import","child_record","EveK5442454063074e-1","Desktop_Test_Flatfile","SbeK1277653428034e-1","Desktop_Test_Flatfile","Hkey_EtSE_EveK5442454063074e-1_2","SbeK1277653428034e-1","Desktop_Test_Flatfile","RegK9668273472613","Desktop_Test_Flatfile","Hkey_SEtR_EveK5442454063074e-1_2","RegK9668273472613","Desktop_Test_Flatfile","ResK7692273875015","Desktop_Test_Flatfile","Hkey_RtR_EveK5442454063074e-1_2"
"EveK3984622691419e-2","EveK3984622691419e-2 hierarchy instance","EveK3984622691419e-2.hierarchy.instance","EveK3984622691419e-2","ns.vm.hierarchy-import","child_record","EveK3984622691419e-2","Desktop_Test_Flatfile","SbeK7736276809711e-2","Desktop_Test_Flatfile","Hkey_EtSE_EveK3984622691419e-2_3","SbeK7736276809711e-2","Desktop_Test_Flatfile","RegK4419723760324","Desktop_Test_Flatfile","Hkey_SEtR_EveK3984622691419e-2_3","RegK4419723760324","Desktop_Test_Flatfile","ResK6720856154453","Desktop_Test_Flatfile","Hkey_RtR_EveK3984622691419e-2_3"
"EveK3984622691419e-2","EveK3984622691419e-2 hierarchy instance","EveK3984622691419e-2.hierarchy.instance","EveK3984622691419e-2","ns.vm.hierarchy-import","child_record","EveK3984622691419e-2","Desktop_Test_Flatfile","SbeK7736276809711e-2","Desktop_Test_Flatfile","Hkey_EtSE_EveK3984622691419e-2_4","SbeK7736276809711e-2","Desktop_Test_Flatfile","RegK8848427277030","Desktop_Test_Flatfile","Hkey_SEtR_EveK3984622691419e-2_4","RegK8848427277030","Desktop_Test_Flatfile","ResK1942591506297","Desktop_Test_Flatfile","Hkey_RtR_EveK3984622691419e-2_4"
"EveK3984622691419e-2","EveK3984622691419e-2 hierarchy instance","EveK3984622691419e-2.hierarchy.instance","EveK3984622691419e-2","ns.vm.hierarchy-import","child_record","EveK3984622691419e-2","Desktop_Test_Flatfile","SbeK7736276809711e-2","Desktop_Test_Flatfile","Hkey_EtSE_EveK3984622691419e-2_5","SbeK7736276809711e-2","Desktop_Test_Flatfile","RegK5319114175258","Desktop_Test_Flatfile","Hkey_SEtR_EveK3984622691419e-2_5","RegK5319114175258","Desktop_Test_Flatfile","ResK2561823268834","Desktop_Test_Flatfile","Hkey_RtR_EveK3984622691419e-2_5"
"EveK3984622691419e-2","EveK3984622691419e-2 hierarchy instance","EveK3984622691419e-2.hierarchy.instance","EveK3984622691419e-2","ns.vm.hierarchy-import","child_record","EveK3984622691419e-2","Desktop_Test_Flatfile","SbeK7736276809711e-2","Desktop_Test_Flatfile","Hkey_EtSE_EveK3984622691419e-2_6","SbeK7736276809711e-2","Desktop_Test_Flatfile","RegK4878238645487","Desktop_Test_Flatfile","Hkey_SEtR_EveK3984622691419e-2_6","RegK4878238645487","Desktop_Test_Flatfile","ResK3423628003357","Desktop_Test_Flatfile","Hkey_RtR_EveK3984622691419e-2_6"
"EveK5442454063074e-1","EveK5442454063074e-1 hierarchy instance","EveK5442454063074e-1.hierarchy.instance","EveK5442454063074e-1","ns.vm.hierarchy-import","child_record","EveK5442454063074e-1","Desktop_Test_Flatfile","SbeK1277653428034e-1","Desktop_Test_Flatfile","Hkey_EtSE_EveK5442454063074e-1_7","SbeK1277653428034e-1","Desktop_Test_Flatfile","RegK8077219683517","Desktop_Test_Flatfile","Hkey_SEtR_EveK5442454063074e-1_7","RegK8077219683517","Desktop_Test_Flatfile","ResK3293555930374","Desktop_Test_Flatfile","Hkey_RtR_EveK5442454063074e-1_7"
"EveK3984622691419e-2","EveK3984622691419e-2 hierarchy instance","EveK3984622691419e-2.hierarchy.instance","EveK3984622691419e-2","ns.vm.hierarchy-import","child_record","EveK3984622691419e-2","Desktop_Test_Flatfile","SbeK7736276809711e-2","Desktop_Test_Flatfile","Hkey_EtSE_EveK3984622691419e-2_8","SbeK7736276809711e-2","Desktop_Test_Flatfile","RegK1561746130561","Desktop_Test_Flatfile","Hkey_SEtR_EveK3984622691419e-2_8","RegK1561746130561","Desktop_Test_Flatfile","ResK8128324829281","Desktop_Test_Flatfile","Hkey_RtR_EveK3984622691419e-2_8"
"EveK5442454063074e-1","EveK5442454063074e-1 hierarchy instance","EveK5442454063074e-1.hierarchy.instance","EveK5442454063074e-1","ns.vm.hierarchy-import","child_record","EveK5442454063074e-1","Desktop_Test_Flatfile","SbeK1277653428034e-1","Desktop_Test_Flatfile","Hkey_EtSE_EveK5442454063074e-1_9","SbeK1277653428034e-1","Desktop_Test_Flatfile","RegK0599982638207","Desktop_Test_Flatfile","Hkey_SEtR_EveK5442454063074e-1_9","RegK0599982638207","Desktop_Test_Flatfile","ResK7394167048733","Desktop_Test_Flatfile","Hkey_RtR_EveK5442454063074e-1_9"
